Date,Zurich Insurance Group AG,Lonza Group AG,Givaudan SA,Swiss Life Holding AG,Geberit AG
2024-01-03,418.6407470703125,347.43865966796875,3355.479736328125,550.543701171875,504.2343444824219
2024-01-04,414.201171875,347.9348449707031,3310.24169921875,553.9644165039062,505.7936096191406
2024-01-05,413.35107421875,340.7895812988281,3278.771728515625,552.444091796875,506.1834716796875
2024-01-08,412.9732360839844,346.04931640625,3299.423828125,559.2854614257812,507.74273681640625
2024-01-09,414.6734924316406,353.7900085449219,3326.960205078125,559.4755249023438,509.302001953125
2024-01-10,411.7452697753906,361.53070068359375,3339.744873046875,558.145263671875,503.06488037109375
2024-01-11,408.8170471191406,366.49267578125,3319.092529296875,553.394287109375,497.60736083984375
2024-01-12,412.6898498535156,365.59954833984375,3340.728271484375,557.5751342773438,505.59869384765625
2024-01-15,414.6734924316406,367.7828369140625,3332.86083984375,563.4663696289062,502.8699645996094
2024-01-16,417.88507080078125,366.9888916015625,3345.645263671875,568.9774780273438,503.06488037109375
2024-01-17,410.2339172363281,356.1717529296875,3300.407470703125,554.7245483398438,478.3111877441406
2024-01-18,406.36114501953125,361.2330017089844,3287.622802734375,554.344482421875,474.6078796386719
2024-01-19,410.13946533203125,358.7519836425781,3291.556396484375,554.9146118164062,475.8747863769531
2024-01-22,417.31829833984375,370.0653381347656,3308.27490234375,566.5070190429688,484.3534240722656
2024-01-23,414.5790100097656,370.8592529296875,3246.318359375,567.2671508789062,482.6966857910156
2024-01-24,416.94049072265625,378.5007019042969,3262.053466796875,574.298583984375,485.133056640625
2024-01-25,417.31829833984375,367.4850769042969,3533.4814453125,576.198974609375,488.4465637207031
2024-01-26,418.16845703125,420.28070068359375,3578.719482421875,579.8097534179688,493.3193359375
2024-01-29,419.39642333984375,431.29632568359375,3623.95751953125,581.5200805664062,490.20074462890625
2024-01-30,414.1067199707031,429.3115234375,3563.968017578125,589.5017700195312,493.904052734375
2024-01-31,414.7679443359375,421.57080078125,3549.21630859375,590.4519653320312,487.4720153808594
2024-02-01,408.439208984375,424.4487609863281,3555.116943359375,583.4204711914062,486.7898254394531
2024-02-02,413.0676574707031,427.12823486328125,3520.69677734375,587.7913208007812,482.5992431640625
2024-02-05,416.279296875,440.9225769042969,3536.431640625,588.1714477539062,479.77301025390625
2024-02-06,415.42913818359375,443.8997497558594,3551.183349609375,589.3117065429688,483.0865173339844
2024-02-07,416.94049072265625,433.1818542480469,3614.123046875,584.9407348632812,482.8916015625
2024-02-08,408.72259521484375,441.71649169921875,3584.6201171875,581.1399536132812,482.79412841796875
2024-02-09,406.0777282714844,441.0218200683594,3531.5146484375,580.9500122070312,479.9679260253906
2024-02-12,408.3447265625,443.403564453125,3547.24951171875,588.7415161132812,495.8531494140625
2024-02-13,412.1230773925781,438.6400451660156,3555.116943359375,589.3117065429688,486.4974670410156
2024-02-14,413.1621398925781,459.0834655761719,3614.123046875,591.7821655273438,491.9549255371094
2024-02-15,417.1294250488281,454.9153747558594,3601.33837890625,599.5737915039062,492.92950439453125
2024-02-16,416.94049072265625,453.6252746582031,3606.255615234375,606.2251586914062,499.361572265625
2024-02-19,416.0903625488281,452.53363037109375,3642.642822265625,608.6956787109375,496.6328125
2024-02-20,419.30194091796875,450.8465576171875,3681.97998046875,616.4873046875,498.7768249511719
2024-02-21,422.32464599609375,450.350341796875,3669.195556640625,613.63671875,501.7004699707031
2024-02-22,433.4707336425781,455.90777587890625,3688.8642578125,614.0167846679688,502.4801025390625
2024-02-23,437.34356689453125,460.07586669921875,3728.20166015625,616.4873046875,510.4714660644531
2024-02-26,439.5160827636719,457.9918212890625,3752.787353515625,607.935546875,504.8190612792969
2024-02-27,439.23272705078125,460.4728088378906,3683.947021484375,604.7048950195312,505.4037780761719
2024-02-28,444.33349609375,460.67132568359375,3654.44384765625,605.8450927734375,498.3869934082031
2024-02-29,443.9556579589844,458.488037109375,3645.593017578125,609.6458740234375,500.1412048339844
2024-03-01,441.1219177246094,462.0606689453125,3648.543212890625,612.1163940429688,504.6241455078125
2024-03-04,439.70501708984375,459.87738037109375,3638.708984375,613.4466552734375,504.4292297363281
2024-03-05,444.14459228515625,451.7397155761719,3638.708984375,616.6773681640625,501.3106994628906
2024-03-06,448.0173645019531,450.7473449707031,3698.698486328125,619.337890625,508.5223693847656
2024-03-07,452.26800537109375,462.2591247558594,3797.0419921875,617.6275634765625,509.69183349609375
2024-03-08,451.89019775390625,461.0682678222656,3838.34619140625,620.2880859375,513.2001953125
2024-03-11,455.9519348144531,454.7169189453125,3873.75,619.5279541015625,513.2001953125
2024-03-12,458.4078369140625,455.0146179199219,3910.136962890625,626.3693237304688,523.9202880859375
2024-03-13,460.2969970703125,467.61810302734375,3908.170166015625,632.8306884765625,512.8104248046875
2024-03-14,459.63580322265625,479.6260986328125,3911.120361328125,599.1937255859375,510.861328125
2024-03-15,459.63580322265625,470.39678955078125,3950.457763671875,603.5646362304688,515.34423828125
2024-03-18,458.59674072265625,474.36639404296875,3998.646240234375,599.0037231445312,513.5900268554688
2024-03-19,459.3524169921875,478.53448486328125,4017.331298828125,603.1845703125,516.903564453125
2024-03-20,461.05267333984375,505.7261962890625,4033.06640625,610.4060668945312,527.0388793945312
2024-03-21,458.69122314453125,519.2228393554688,4034.0498046875,616.4873046875,531.7167358398438
2024-03-22,458.0299987792969,525.7726440429688,4037.0,608.8857421875,521.7763061523438
2024-03-25,458.3133850097656,522.0015258789062,4066.0,593.3025512695312,516.3187866210938
2024-03-26,458.5022888183594,529.7421875,4034.0,596.1531372070312,519.63232421875
